system	type	sample	genome_id	host_genome_id	subtype	gene_count	genes	contig	start	end	evidence_source	notes
22_length=98852_depth=1.14x_RosmerTA_6	RosmerTA	phagehostlearn_2024_host_CU276	phagehostlearn_2024_host_CU276	phagehostlearn_2024_host_CU276	RosmerTA	2	22_length=98852_depth=1.14x_71,22_length=98852_depth=1.14x_72	22_length=98852_depth=1.14x	22_length=98852_depth=1.14x_71	22_length=98852_depth=1.14x_72	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_length=194082_depth=1.03x_SEFIR_13	SEFIR	phagehostlearn_2024_host_CU276	phagehostlearn_2024_host_CU276	phagehostlearn_2024_host_CU276	SEFIR	1	14_length=194082_depth=1.03x_146	14_length=194082_depth=1.03x	14_length=194082_depth=1.03x_146	14_length=194082_depth=1.03x_146	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
22_length=98852_depth=1.14x_Zorya_TypeI_7	Zorya	phagehostlearn_2024_host_CU276	phagehostlearn_2024_host_CU276	phagehostlearn_2024_host_CU276	Zorya_TypeI	4	22_length=98852_depth=1.14x_54,22_length=98852_depth=1.14x_55,22_length=98852_depth=1.14x_56,22_length=98852_depth=1.14x_57	22_length=98852_depth=1.14x	22_length=98852_depth=1.14x_54	22_length=98852_depth=1.14x_57	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
17_length=135363_depth=1.11x_AbiE_23	AbiE	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	AbiE	2	17_length=135363_depth=1.11x_34,17_length=135363_depth=1.11x_35	17_length=135363_depth=1.11x	17_length=135363_depth=1.11x_34	17_length=135363_depth=1.11x_35	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
59_length=5804_depth=0.80x_CBASS_II_Phospholipase_13	CBASS	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	CBASS_II_Phospholipase	4	59_length=5804_depth=0.80x_1,59_length=5804_depth=0.80x_2,59_length=5804_depth=0.80x_3,59_length=5804_depth=0.80x_4	59_length=5804_depth=0.80x	59_length=5804_depth=0.80x_1	59_length=5804_depth=0.80x_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
16_length=135375_depth=0.91x_CBASS_I_TM_5	CBASS	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	CBASS_I_TM	2	16_length=135375_depth=0.91x_21,16_length=135375_depth=0.91x_22	16_length=135375_depth=0.91x	16_length=135375_depth=0.91x_21	16_length=135375_depth=0.91x_22	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
4_length=323324_depth=0.98x_CAS_Class1-Subtype-I-E_29	Cas	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	CAS_Class1-Subtype-I-E	8	4_length=323324_depth=0.98x_130,4_length=323324_depth=0.98x_131,4_length=323324_depth=0.98x_132,4_length=323324_depth=0.98x_133,4_length=323324_depth=0.98x_134,4_length=323324_depth=0.98x_135,4_length=323324_depth=0.98x_136,4_length=323324_depth=0.98x_137	4_length=323324_depth=0.98x	4_length=323324_depth=0.98x_130	4_length=323324_depth=0.98x_137	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
7_length=201978_depth=1.11x_UG4_25	DRT-like_UG	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	UG4	1	7_length=201978_depth=1.11x_144	7_length=201978_depth=1.11x	7_length=201978_depth=1.11x_144	7_length=201978_depth=1.11x_144	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
31_length=36733_depth=0.88x_DS-16_22	DS-16	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	DS-16	2	31_length=36733_depth=0.88x_21,31_length=36733_depth=0.88x_22	31_length=36733_depth=0.88x	31_length=36733_depth=0.88x_21	31_length=36733_depth=0.88x_22	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
39_length=24627_depth=1.29x_Druantia_III_8	Druantia	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	Druantia_III	2	39_length=24627_depth=1.29x_5,39_length=24627_depth=1.29x_6	39_length=24627_depth=1.29x	39_length=24627_depth=1.29x_5	39_length=24627_depth=1.29x_6	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
26_length=71888_depth=1.13x_Gabija_19	Gabija	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	Gabija	2	26_length=71888_depth=1.13x_21,26_length=71888_depth=1.13x_22	26_length=71888_depth=1.13x	26_length=71888_depth=1.13x_21	26_length=71888_depth=1.13x_22	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
2_length=352141_depth=1.11x_Hachiman_1	Hachiman	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	Hachiman	2	2_length=352141_depth=1.11x_248,2_length=352141_depth=1.11x_249	2_length=352141_depth=1.11x	2_length=352141_depth=1.11x_248	2_length=352141_depth=1.11x_249	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
16_length=135375_depth=0.91x_Lamassu_Cap4_7	Lamassu-Fam	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	Lamassu_Cap4	3	16_length=135375_depth=0.91x_25,16_length=135375_depth=0.91x_26,16_length=135375_depth=0.91x_27	16_length=135375_depth=0.91x	16_length=135375_depth=0.91x_25	16_length=135375_depth=0.91x_27	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
49_length=11392_depth=0.76x_Mok_Hok_Sok_21	Mok_Hok_Sok	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	Mok_Hok_Sok	1	49_length=11392_depth=0.76x_13	49_length=11392_depth=0.76x	49_length=11392_depth=0.76x_13	49_length=11392_depth=0.76x_13	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
51_length=10420_depth=1.06x_Other_Type_IV_24	Other_Type_IV	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	Other_Type_IV	1	51_length=10420_depth=1.06x_4	51_length=10420_depth=1.06x	51_length=10420_depth=1.06x_4	51_length=10420_depth=1.06x_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
9_length=200304_depth=0.84x_PD-T7-1_18	PD-T7-1	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	PD-T7-1	1	9_length=200304_depth=0.84x_185	9_length=200304_depth=0.84x	9_length=200304_depth=0.84x_185	9_length=200304_depth=0.84x_185	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
19_length=112581_depth=0.95x_PhiEpX1_Gp15_20	PhiEpX1_Gp15	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	PhiEpX1_Gp15	1	19_length=112581_depth=0.95x_8	19_length=112581_depth=0.95x	19_length=112581_depth=0.95x_8	19_length=112581_depth=0.95x_8	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
26_length=71888_depth=1.13x_N6_RM_Type_I_26	RM_Type_I	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	N6_RM_Type_I	3	26_length=71888_depth=1.13x_17,26_length=71888_depth=1.13x_18,26_length=71888_depth=1.13x_19	26_length=71888_depth=1.13x	26_length=71888_depth=1.13x_17	26_length=71888_depth=1.13x_19	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
39_length=24627_depth=1.29x_N6_RM_Type_I_28	RM_Type_I	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	N6_RM_Type_I	3	39_length=24627_depth=1.29x_2,39_length=24627_depth=1.29x_3,39_length=24627_depth=1.29x_4	39_length=24627_depth=1.29x	39_length=24627_depth=1.29x_2	39_length=24627_depth=1.29x_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
41_length=20154_depth=1.53x_DNA_met_RM_Type_II_PDDEXK_27	RM_Type_II	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	DNA_met_RM_Type_II_PDDEXK	2	41_length=20154_depth=1.53x_22,41_length=20154_depth=1.53x_23	41_length=20154_depth=1.53x	41_length=20154_depth=1.53x_22	41_length=20154_depth=1.53x_23	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
2_length=352141_depth=1.11x_RosmerTA_3	RosmerTA	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	RosmerTA	2	2_length=352141_depth=1.11x_254,2_length=352141_depth=1.11x_255	2_length=352141_depth=1.11x	2_length=352141_depth=1.11x_254	2_length=352141_depth=1.11x_255	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
11_length=194139_depth=1.03x_SEFIR_17	SEFIR	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	SEFIR	1	11_length=194139_depth=1.03x_147	11_length=194139_depth=1.03x	11_length=194139_depth=1.03x_147	11_length=194139_depth=1.03x_147	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
2_length=352141_depth=1.11x_Zorya_TypeI_4	Zorya	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	phagehostlearn_2024_host_CU293	Zorya_TypeI	4	2_length=352141_depth=1.11x_268,2_length=352141_depth=1.11x_269,2_length=352141_depth=1.11x_270,2_length=352141_depth=1.11x_271	2_length=352141_depth=1.11x	2_length=352141_depth=1.11x_268	2_length=352141_depth=1.11x_271	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
2_Aristaios_21	Aristaios	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Aristaios	1	2_11	2	2_11	2_11	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
45_DS-28_5	DS-28	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	DS-28	2	45_19,45_20	45	45_19	45_20	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
24_DS-44_13	DS-44	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	DS-44	1	24_85	24	24_85	24_85	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
6_DUF262_Shlafen_pSlfn7_18	DUF262_Shlafen	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	DUF262_Shlafen_pSlfn7	1	6_1	6	6_1	6_1	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
30_Hachiman_15	Hachiman	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Hachiman	2	30_55,30_56	30	30_55	30_56	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
20_Hna_9	Hna	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Hna	1	20_66	20	20_66	20_66	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
20_Lamassu_Hypothetical_12	Lamassu-Fam	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Lamassu_Hypothetical	3	20_56,20_57,20_58	20	20_56	20_58	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
53_Mok_Hok_Sok_19	Mok_Hok_Sok	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Mok_Hok_Sok	1	53_3	53	53_3	53_3	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
66_Mok_Hok_Sok_20	Mok_Hok_Sok	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Mok_Hok_Sok	1	66_6	66	66_6	66_6	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_Other_Type_IV_1	Other_Type_IV	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Other_Type_IV	1	14_93	14	14_93	14_93	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
26_PARIS_I_4	Paris	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	PARIS_I	2	26_36,26_37	26	26_36	26_37	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
24_Prometheus_14	Prometheus	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Prometheus	1	24_65	24	24_65	24_65	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_N6_RM_Type_IIG_22	RM_Type_IIG	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	N6_RM_Type_IIG	1	14_111	14	14_111	14_111	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
68_Retron_II_8	Retron	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Retron_II	2	68_3,68_4	68	68_3	68_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
45_RloC_6	RloC	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	RloC	1	45_18	45	45_18	45_18	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_RosmerTA_2	RosmerTA	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	RosmerTA	2	14_107,14_108	14	14_107	14_108	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_Septu_3	Septu	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Septu	2	14_105,14_106	14	14_105	14_106	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
64_TgvAB_17	TgvAB	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	TgvAB	2	64_6,64_7	64	64_6	64_7	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
45_Toga_7	Toga	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	phagehostlearn_2024_host_CU371	Toga	1	45_17	45	45_17	45_17	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
14_length=129256_depth=0.98x_AbiE_6	AbiE	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	AbiE	2	14_length=129256_depth=0.98x_25,14_length=129256_depth=0.98x_26	14_length=129256_depth=0.98x	14_length=129256_depth=0.98x_25	14_length=129256_depth=0.98x_26	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
23_length=85505_depth=0.82x_AbiU_10	AbiU	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	AbiU	1	23_length=85505_depth=0.82x_4	23_length=85505_depth=0.82x	23_length=85505_depth=0.82x_4	23_length=85505_depth=0.82x_4	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
27_length=65683_depth=1.12x_CAS_Class1-Subtype-IV-A_16	Cas	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	CAS_Class1-Subtype-IV-A	5	27_length=65683_depth=1.12x_2,27_length=65683_depth=1.12x_3,27_length=65683_depth=1.12x_4,27_length=65683_depth=1.12x_5,27_length=65683_depth=1.12x_6	27_length=65683_depth=1.12x	27_length=65683_depth=1.12x_2	27_length=65683_depth=1.12x_6	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
15_length=120074_depth=1.01x_DS-24_7	DS-24	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	DS-24	1	15_length=120074_depth=1.01x_44	15_length=120074_depth=1.01x	15_length=120074_depth=1.01x_44	15_length=120074_depth=1.01x_44	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
51_length=7196_depth=1.07x_DS-34_14	DS-34	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	DS-34	2	51_length=7196_depth=1.07x_1,51_length=7196_depth=1.07x_2	51_length=7196_depth=1.07x	51_length=7196_depth=1.07x_1	51_length=7196_depth=1.07x_2	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
15_length=120074_depth=1.01x_GAPS1_8	GAPS1	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	GAPS1	1	15_length=120074_depth=1.01x_13	15_length=120074_depth=1.01x	15_length=120074_depth=1.01x_13	15_length=120074_depth=1.01x_13	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
8_length=233985_depth=0.91x_GAPS1_1	GAPS1	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	GAPS1	1	8_length=233985_depth=0.91x_70	8_length=233985_depth=0.91x	8_length=233985_depth=0.91x_70	8_length=233985_depth=0.91x_70	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
26_length=69412_depth=1.87x_Gao_Tmn_12	Gao_Tmn	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	phagehostlearn_2024_host_CU402	Gao_Tmn	1	26_length=69412_depth=1.87x_7	26_length=69412_depth=1.87x	26_length=69412_depth=1.87x_7	26_length=69412_depth=1.87x_7	DefenseFinder Using DefenseFinder version 3.0.0; models defense-finder-models 3.1.0; CasFinder 3.1.0	System-level DefenseFinder call from reviewed PhageHostLearn host archive member; start/end are DefenseFinder protein identifiers, not nucleotide coordinates; spot-test endpoint does not prove productive infection.
